season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2013,Delhi,18-04-2013,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,170
2013,Hyderabad,19-04-2013,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Sunrisers Hyderabad,124
2013,Kolkata,20-04-2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,120
2013,Bangalore,20-04-2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,118
2013,Delhi,21-04-2013,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,162
2013,Chennai,22-04-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,186
2013,Delhi,23-04-2013,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,121
2013,Kolkata,24-04-2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,160
2013,Chennai,25-04-2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Chennai Super Kings,160
2013,Kolkata,26-04-2013,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,150
2013,Jaipur,27-04-2013,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,145
2013,Mumbai,27-04-2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,195
2013,Chennai,28-04-2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,201
2013,Jaipur,29-04-2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,172
2013,Mumbai,29-04-2013,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,175
2013,Hyderabad,01-05-2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,130
2013,Raipur,01-05-2013,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,137
2013,Chennai,02-05-2013,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,187
2013,Kolkata,03-05-2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,133
