season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2024,Lucknow,05-05-2024,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,236
2024,Mumbai,06-05-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,174
2024,Delhi,07-05-2024,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,222
2024,Hyderabad,08-05-2024,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Sunrisers Hyderabad,166
2024,Dharamsala,09-05-2024,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,242
2024,Ahmedabad,10-05-2024,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,232
2024,Kolkata,11-05-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,158
2024,Chennai,12-05-2024,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,142
2024,Bengaluru,12-05-2024,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,188
2024,Delhi,14-05-2024,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,209
2024,Guwahati,15-05-2024,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,145
2024,Mumbai,17-05-2024,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,215
2024,Bengaluru,18-05-2024,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,219
2024,Hyderabad,19-05-2024,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,215
2024,Ahmedabad,21-05-2024,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,160
2024,Ahmedabad,22-05-2024,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,173
2024,Chennai,24-05-2024,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,176
2024,Chennai,26-05-2024,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,114
